id,i,we,you,shehe,they,ipron,PastM,PresentM,FutureM,ProgM,family,friend,humans,posemo,negemo,insight,cause,discrep,tentat,certain,inhib,incl,excl,see,hear,feel,body,health,sexual,ingest,label
248511,0.002066116,0.002066116,0.020661157,0,0,0.011363636,0.003099174,0.008264463,0.004132231,0.007231405,0.004132231,0,0.018595041,0.030991736,0.008264463,0.029958678,0.017561983,0.026859504,0.018595041,0.011363636,0.012396694,0.034090909,0.019628099,0.011363636,0.002066116,0.007231405,0.023760331,0.010330579,0.009297521,0.029958678,0
104763,0,0.004395604,0,0,0,0.013186813,0,0.015384615,0.004395604,0.006593407,0,0,0.008791209,0.006593407,0.028571429,0.01978022,0.035164835,0.028571429,0.010989011,0.010989011,0.015384615,0.050549451,0.013186813,0.004395604,0,0.004395604,0.030769231,0.07032967,0.002197802,0.013186813,0
40671,0,0,0.005865103,0,0.002932551,0.011730205,0.002932551,0.011730205,0.002932551,0.011730205,0,0,0.002932551,0.017595308,0.005865103,0.032258065,0.014662757,0.026392962,0.020527859,0.017595308,0.002932551,0.029325513,0.008797654,0.005865103,0.002932551,0.008797654,0.002932551,0.005865103,0.002932551,0.023460411,0
52682,0.002,0,0.002,0,0,0.026,0.004,0.004,0.004,0.01,0,0.002,0.008,0.016,0.016,0.04,0.014,0.014,0.012,0.022,0.002,0.036,0.034,0.004,0.006,0.002,0.024,0.036,0.002,0.036,0
34774,0,0.000980392,0.001960784,0,0.000980392,0.012745098,0.002941176,0.015686275,0.004901961,0.005882353,0.000980392,0,0.006862745,0.006862745,0.016666667,0.024509804,0.021568627,0.011764706,0.021568627,0.012745098,0.031372549,0.03627451,0.006862745,0.006862745,0.002941176,0.005882353,0.008823529,0.035294118,0.004901961,0.079411765,0
24558058,0,0,0,0,0,0,0,0.035714286,0,0,0,0,0,0.017857143,0,0.035714286,0.017857143,0.017857143,0.035714286,0.035714286,0,0.017857143,0.017857143,0,0,0,0,0,0,0,1
268638,0.005568815,0.005171042,0.005966587,0.001988862,0.001193317,0.022275259,0.002386635,0.007557677,0.00318218,0.029435163,0.002386635,0.000397772,0.018297534,0.023070804,0.019490851,0.038186158,0.017501989,0.020684169,0.008750994,0.009148767,0.006762132,0.036595068,0.023468576,0.007955449,0.005966587,0.003579952,0.021081941,0.043754972,0.001988862,0.004375497,0
139589,0.002235469,0.000745156,0.006706408,0,0,0.015648286,0.001490313,0.005216095,0.016393443,0.009687034,0,0,0.009687034,0.020864382,0.009687034,0.026080477,0.026825633,0.038002981,0.032041729,0.016393443,0.013412817,0.053651267,0.020119225,0.009687034,0.001490313,0.009687034,0.030551416,0.034277198,0.001490313,0.036512668,0
283670,0.003478261,0,0.00173913,0.005217391,0,0.017391304,0,0.020869565,0.006956522,0.017391304,0,0,0.008695652,0.020869565,0.010434783,0.050434783,0.03826087,0.019130435,0.010434783,0.010434783,0.010434783,0.04,0.013913043,0.00173913,0.00173913,0.00173913,0.006956522,0.04,0,0.029565217,0
8007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
